source	target	kind	discovery	blame_date	file_created	evidence
01	76	context	at-creation	2026-08-03	2026-08-03	Backfilled 2026-08-03 from the first day's history (M-76). This is a record of what the
01	2	context	at-creation	2026-08-03	2026-08-03	starts at `543d390` (M-2), so no commit names M-1. The boot commit and the plan
02	76	context	at-creation	2026-08-03	2026-08-03	Backfilled 2026-08-03 from history (M-76). Built in `543d390` (2026-07-13), the first
02	5	context	at-creation	2026-08-03	2026-08-03	and a syscall are the same mechanism, so this is also the plumbing for M-5 (the timer)
02	7	context	at-creation	2026-08-03	2026-08-03	and M-7 (`svc`), and those became "mostly a matter of adding arms to a match."
02	449	context	later	2026-09-20	2026-08-03	This refusal is M-449 (design/roadmap/449-the-el2-to-el1-drop.md), which carries it with
03	76	context	at-creation	2026-08-03	2026-08-03	Backfilled 2026-08-03 from history (M-76). Built in `ba47a27` (2026-07-13), written up in
03	4	context	at-creation	2026-08-03	2026-08-03	than a fix; the real fix, a guard page below the stack, waited for M-4's MMU.
03	5	context	at-creation	2026-08-03	2026-08-03	M-5. That arrived as `6974f6c` (IrqSafeMutex, handlers do not allocate) and was later
03	4	context	later	2026-09-03	2026-08-03	- **M-4.** The guard page below the kernel stack. The stack canary this milestone added is
03	4	context	later	2026-09-03	2026-08-03	M-4 turns on.
03	5	context	later	2026-09-03	2026-08-03	- **M-5.** The written-down locking discipline the commit demanded before a timer interrupt
03	5	context	later	2026-09-03	2026-08-03	M-5 is where it stopped being a hypothesis.
04	76	context	at-creation	2026-08-03	2026-08-03	Backfilled 2026-08-03 from history (M-76). The one early milestone that landed as named
04	3	context	at-creation	2026-08-03	2026-08-03	- `474ace4` "steps 2+3": the MMU is on, with W^X and the guard page M-3's stack overflow
04	14	context	at-creation	2026-08-03	2026-08-03	matches, with the heap later removed on purpose by M-14, which the record here should not
04	14	context	later	2026-09-03	2026-08-03	slab allocator, the `wfi` fix) or was undone on purpose by M-14, and the block leaves no
04	14	context	later	2026-09-14	2026-08-03	virtual memory with W^X and a guard page; the heap M-14 later removed on purpose
05	76	context	at-creation	2026-08-03	2026-08-03	Backfilled 2026-08-03 from history (M-76). Built in `809d856` (2026-07-13): a 100 Hz
06	76	context	at-creation	2026-08-03	2026-08-03	Backfilled 2026-08-03 from history (M-76). Built in `782d4bb` (2026-07-14): two threads
06	7	context	at-creation	2026-08-03	2026-08-03	`ret` that resumes a thread also start one. M-7a later pulled the identical trick to
07	76	context	at-creation	2026-08-03	2026-08-03	Backfilled 2026-08-03 from history (M-76). The densest citation target in the tree (79
08	76	context	at-creation	2026-08-03	2026-08-03	Backfilled 2026-08-03 from history (M-76). Built in `a5533cb` (2026-07-14). The revised
09	76	context	at-creation	2026-08-03	2026-08-03	Backfilled 2026-08-03 from history (M-76). Two commits on 2026-07-14:
09	32	context	at-creation	2026-08-03	2026-08-03	is M-32's work, eighteen days and a real filesystem later.
09	32	context	later	2026-09-03	2026-08-03	- **M-32.** The revised row promised "virtio-blk in userspace + a filesystem server" and the
09	32	context	later	2026-09-03	2026-08-03	server is M-32, eighteen days and a real filesystem later, and this block already says so.
10	76	context	at-creation	2026-08-03	2026-08-03	Backfilled 2026-08-03 from history (M-76). Built in `61ed8c2` (2026-07-14), the rung the
10	9	context	at-creation	2026-08-03	2026-08-03	absorbed the original M-9 ("Processes: spawn, exit, wait") when the ladder was rewritten
10	13	followon	at-creation	2026-08-03	2026-08-03	left for later (revocation is M-13's subject and reaping a whole process is milestone
10	13	context	later	2026-09-03	2026-08-03	- **M-13.** Teardown beyond `exit` was deliberately left out here, and revocation is where
10	9	context	later	2026-09-03	2026-08-03	half of the old M-9; taking one apart safely was not.
10	26	prerequisite	later	2026-09-03	2026-08-03	- **M-26.** Reaping a whole process, the other half of the teardown this block deferred. A
10	31	context	later	2026-09-03	2026-08-03	- **M-31.** The shell itself stopped at three commands (`help`, `echo`, `run <n>`), and the
10	47	context	later	2026-09-03	2026-08-03	- **M-47.** Navigation and naming, which is what the three-command shell had none of:
10	67	context	later	2026-09-03	2026-08-03	- **M-67.** The language the shell speaks, which this block leaves as the interactive
11	76	context	at-creation	2026-08-03	2026-08-03	Backfilled 2026-08-03 from history (M-76). The one early milestone that was not in the
11	14	context	at-creation	2026-08-03	2026-08-03	everything the roadmap now tracks came after, and M-14 finished what this one started by
11	14	context	later	2026-09-03	2026-08-03	- **M-14.** Finishing what this one started: the kernel heap goes away outright and every
13	14	context	later	2026-09-03	2026-08-03	- **M-14.** Reclamation itself, which this milestone was the blocking precondition for.
13	456	context	later	2026-09-20	2026-08-03	This refusal is M-456 (design/roadmap/456-the-capability-derivation-tree.md), which
14	11	context	at-creation	2026-08-03	2026-08-03	**Deliverable.** Retype TCBs, endpoints, and page tables out of untyped memory, the way M-11
14	11	context	at-creation	2026-08-03	2026-08-03	**Why.** This finishes S-10's deferred axis. M-11 stopped the kernel allocating for *user*
14	457	context	later	2026-09-20	2026-08-03	This refusal is M-457 (design/roadmap/457-sub-page-object-packing.md), which carries it
14	456	context	later	2026-09-20	2026-08-03	This refusal is M-456 (design/roadmap/456-the-capability-derivation-tree.md), which
14	11	context	later	2026-09-03	2026-08-03	- **Refused.** Any change to the user-facing map and retype semantics for frames. M-11's
15	14	prerequisite	later	2026-09-18	2026-08-03	**Why it matters.** perf the real-workload path needs on real silicon. **Built** (8-bit fixed bitmap, no rollover: M-14's bounds made generations ...
15	58	context	later	2026-09-03	2026-08-03	- **M-58.** The RISC-V half. `sfence.vma` is local, so discharging an ASID machine-wide
15	14	context	later	2026-09-03	2026-08-03	- **Refused.** The generation and rollover scheme this block sketched from Linux. M-14
15	458	context	later	2026-09-20	2026-08-03	This refusal is M-458 (design/roadmap/458-asid-generations-and-rollover.md), which carries
15	363	context	later	2026-09-19	2026-08-03	- **M-363.** `design/roadmap/363-what-asids-bought.md`, put a number on what ASIDs bought.
16	74	context	later	2026-09-03	2026-08-03	- **The real-cycle benches: the code landed 2026-09-03, the numbers have not.** M-74's
16	25	context	later	2026-09-03	2026-08-03	its aarch64 half, and that is M-25's `sel4bench` comparison rather than 16a's board.
16	247	context	later	2026-09-03	2026-08-03	day it was found.** M-247 swept every `BUILT` and `REMOVED` block for exactly this and cannot
16	143	context	later	2026-08-21	2026-08-03	is now M-143, split out 2026-08-20, because it waits on a board that ships the ratified
16	143	context	later	2026-08-21	2026-08-03	16b's riscv driver carries over when a board ships the ratified spec, which is M-143.
16	22	context	at-creation	2026-08-03	2026-08-03	**Also closes an integrity window (M-22's precondition).** Before DMA is confined in
16	74	context	later	2026-09-16	2026-08-03	- **M-74.** The real-cycle benches are all that is left of 16a, and **the riscv64 number was
16	143	prerequisite	later	2026-09-03	2026-08-03	- **M-143.** Carrying 16b's RISC-V IOMMU driver to silicon is that block, gated on hardware
16	25	context	later	2026-09-03	2026-08-03	- **M-241.** The aarch64 board this block deferred to when M-25's leftover
16	241	context	later	2026-09-03	2026-08-03	- **M-241.** The aarch64 board this block deferred to when M-25's leftover
16	252	context	later	2026-09-03	2026-08-03	- **M-252.** The gap this block found in itself, that a PARTIAL block goes unread while it
16	252	context	later	2026-09-03	2026-08-03	keeps claiming work, is M-252.
17	88	prerequisite	at-creation	2026-08-03	2026-08-03	starts from. This milestone is gated on evidence two others produce: **M-88** provides the
17	80	context	at-creation	2026-08-03	2026-08-03	run on exceeds ten), and **M-80** provides the method, because a design that replaces the
18	35	context	at-creation	2026-08-03	2026-08-03	**Status (2026-07-29), with M-35 done.** The proved set is now broad: 13 crates, ~60
18	35	context	at-creation	2026-08-03	2026-08-03	M-35. An audit against the TCB (prompted by asking "what should we prove that we haven't")
18	35	context	at-creation	2026-08-03	2026-08-03	attacker-tested, never proved.** M-35 closed it: the validator is extracted and proved for every
18	35	context	at-creation	2026-08-03	2026-08-03	declined BMC wall and on tests). What M-35 explicitly does **not** prove, and says so in three
18	35	context	later	2026-09-03	2026-08-03	- **M-35.** The TCB audit's one glaring exception, the DMA-confinement validator that was
18	193	context	later	2026-09-03	2026-08-03	- **M-193.** The frontier this block names past the logic crates: proving properties *of the
18	466	context	later	2026-09-20	2026-08-03	This refusal is M-466 (design/roadmap/466-verus-and-unbounded-proof.md), which carries it
20	161	context	later	2026-08-23	2026-08-03	below was never tracked as open work and is split out to M-161** (2026-08-23, checked
20	161	context	later	2026-08-23	2026-08-03	**In brief.** Make `arch/` a real HAL; bring up RISC-V (x86_64 tracked at M-161)
20	161	context	later	2026-08-23	2026-08-03	milestone's own scope; x86_64 is M-161's.
20	16	context	at-creation	2026-08-03	2026-08-03	M-16, not here.
20	161	context	later	2026-09-03	2026-08-03	- **M-161.** The x86_64 half of "Deliverable, in two parts". It was never tracked as open
20	176	context	later	2026-09-03	2026-08-03	- **M-176.** The device-discovery seam this block asked for ("here is the hardware", device
20	16	context	later	2026-09-03	2026-08-03	- **M-16.** Real-hardware aarch64, which this block names as the cheapest portability proof
21	15	context	at-creation	2026-08-03	2026-08-03	**Added 2026-07-23, prompted by M-15 shipping a performance win nothing measures.** The
21	15	context	at-creation	2026-08-03	2026-08-03	This is where M-15's flush removal finally gets measured (an A/B flag restoring the
21	16	context	at-creation	2026-08-03	2026-08-03	VMM), the PMU is not virtualized (cycle-exact counters wait for M-16's silicon, which
21	74	context	later	2026-09-03	2026-08-03	- **M-74.** Cycle-exact counters. HVF passes no PMU through, so `--real` reports the
21	74	context	later	2026-09-03	2026-08-03	architected virtual counter and derives cycles by arithmetic. M-74 is the SBI PMU half on
21	16	prerequisite	later	2026-09-03	2026-08-03	riscv64 and the `PMCCNTR_EL0` half on aarch64, raised from an audit of what M-16a needs,
22	36	context	at-creation	2026-08-03	2026-08-03	to reap is no longer needed. The measured limit: M-36's `c_confiner` still holds a
22	19	context	at-creation	2026-08-03	2026-08-03	evicted (M-19) plus *restart policy* (retries, backoff, escalation) into the trusted
22	23	context	later	2026-09-03	2026-08-03	- **M-23.** Restarting a **hung** child. `Endpoint::REAP` refuses a live thread on purpose,
22	36	context	later	2026-09-03	2026-08-03	- **Recorded.** `notes/supervision.md`: M-36's `c_confiner` still holds a full construction
23	39	context	later	2026-08-23	2026-08-03	notes/component-manifest.md), which is the piece M-39's packaging analysis leans on. **The
23	126	context	later	2026-08-17	2026-08-03	report a hang**: `abi::endpoint::SURVEY` (M-126) says `BLOCKED`, which is byte for byte what a
23	106	context	later	2026-08-17	2026-08-03	M-106's timed wait; and what may be done to a component that never cooperates, where the
23	7	context	at-creation	2026-08-03	2026-08-03	never a peer (the M-7-8 decision), so a component's identity is invisible to the code that
23	13	context	at-creation	2026-08-03	2026-08-03	registers (the interleaving hazard): M-13's revocation extended from frames to *device*
23	21	context	at-creation	2026-08-03	2026-08-03	- **Measure it, do not argue it.** M-21's benchmark harness is the instrument: add a
23	22	context	at-creation	2026-08-03	2026-08-03	M-22's authority-minimisation. It also connects directly to the parked competitor ambition
23	106	context	later	2026-09-03	2026-08-03	- **M-106.** How a supervisor notices a hang is the timed wait,
