# The prose ratchet's baseline: milestone 586 (a prose ratchet in lint), for §212 (a prose budget)
# and §213 (writing standards).
# One row per document over at least one limit when it was written. `-` means that measure was
# within its limit, and so may not cross it. A number is a ceiling that may only go DOWN: lower it
# with `python3 helpers/prose_ratchet.py --bank`, which never raises and never adds. A row may be
# removed; a row may not be added and a number may not rise (script/lint compares against the
# merge base). A document that must exceed its row gets a marked exception, not an edit here.
# The one exception is a change of measurement: the `measure:` line below says which one wrote
# these rows, and a change that bumps it re-measures the rows it moved (`--remeasure`), once.
# Limits: words 3000, median sentence 20, longest sentence 40, bold 4 per 1,000 words (held as the
# two counts). Median and bold are not asked of documents under 200 words.
# measure: 2
path	words	median	longest	bold_lead	bold_inline
AGENTS.md	-	-	44	-	-
briefs/README.md	-	-	52	8	5
briefs/gate-a-lane.md	-	-	63	8	5
briefs/gate-in-ci.md	-	-	53	14	11
briefs/main-is-red.md	-	-	42	10	4
briefs/merge-and-cleanup.md	-	-	56	14	8
briefs/rebase-onto-main.md	-	-	50	19	13
briefs/session-start.md	-	-	64	14	4
briefs/survey-the-queue.md	-	-	-	7	2
briefs/triage-a-failing-check.md	-	-	-	6	2
design/backup-server-ladder.md	-	-	45	4	5
design/capsicum-and-the-retrofit-question.md	-	-	55	5	13
design/competitor-question.md	-	21	51	3	0
design/decisions/05-preemptive-threads.md	-	-	-	5	7
design/decisions/09-irq-safe-locking.md	-	-	-	8	7
design/decisions/10-capability-microkernel.md	-	-	-	11	26
design/decisions/100-the-terminal-font.md	-	-	54	32	16
design/decisions/101-notification-objects.md	3468	-	65	24	13
design/decisions/102-frame-names-a-run.md	-	-	-	16	1
design/decisions/103-what-a-frame-names.md	6892	-	58	75	57
design/decisions/104-the-font-and-the-palette.md	-	-	45	10	9
design/decisions/105-thread-spawn-decline-for-now.md	-	-	59	5	2
design/decisions/106-tail-output-narrowing.md	-	23.5	55	9	1
design/decisions/107-missing-docs-workspace-wide.md	-	24.5	68	5	2
design/decisions/108-credential-revocation-kills-durable-session.md	-	26	53	3	0
design/decisions/109-attribution-is-a-channel-property.md	-	-	59	13	3
design/decisions/11-per-cpu-run-queues.md	-	-	66	29	7
design/decisions/110-hard-links-declined.md	-	-	-	5	0
design/decisions/111-inert-config-is-a-validated-page.md	-	26	62	7	0
design/decisions/112-touch-mtime-authority.md	-	22	-	3	2
design/decisions/113-kernel-object-plain-names.md	-	-	63	23	3
design/decisions/114-aspace-enumerate.md	-	22.5	49	2	1
design/decisions/115-no-sysctl.md	-	22	51	4	0
design/decisions/116-state-handoff-declined.md	-	-	58	5	2
design/decisions/117-subtree-name-is-identity.md	-	22	60	6	1
design/decisions/118-ipc-tables-name.md	-	27	62	3	2
design/decisions/119-oom-causes-declined.md	-	20.5	45	3	1
design/decisions/12-call-reply-ipc.md	-	-	-	7	1
design/decisions/120-boot-entropy-stopgap-declined.md	-	21	82	5	0
design/decisions/121-port-io-capability.md	3398	21	67	30	16
design/decisions/122-durable-schedule-store-format.md	-	27	60	15	6
design/decisions/123-boot-time-rederivation-privilege.md	3167	25	72	20	7
design/decisions/124-x86-64-syscall-abi.md	-	21.5	52	6	4
design/decisions/125-durable-schedule-manifest.md	-	31	77	13	0
design/decisions/126-two-directory-cwd.md	-	-	55	7	1
design/decisions/127-x86-64-timer-rdtsc.md	-	-	56	5	0
design/decisions/128-git-clobber-enforcement.md	-	21	60	10	2
design/decisions/129-rename-noreplace-flag.md	-	27	66	6	1
design/decisions/13-frame-revocation.md	-	20.5	-	2	5
design/decisions/130-cmos-rtc-delegation.md	-	27	100	5	5
design/decisions/131-hold-at-rung-two.md	-	23.5	49	4	0
design/decisions/132-overlapping-page-frame-runs.md	-	-	59	24	10
design/decisions/133-idle-core-self-rescue.md	-	-	54	4	4
design/decisions/134-harness-falsification-record.md	3946	-	71	43	30
design/decisions/135-running-gpl-software.md	-	-	47	30	8
design/decisions/136-foreign-implementation-as-oracle.md	-	-	-	14	8
design/decisions/137-trng-health-tests.md	-	-	44	8	1
design/decisions/138-cross-core-handoff-under-load.md	6114	-	50	76	32
design/decisions/139-cycle-counter-authority.md	9483	-	73	76	44
design/decisions/14-project-direction.md	-	-	45	8	9
design/decisions/140-follow-on-disposition-vocabulary.md	-	-	57	10	2
design/decisions/141-application-is-grant.md	-	-	-	19	12
design/decisions/142-spawn-retention.md	5801	-	70	67	27
design/decisions/143-machine-names-in-source.md	-	-	42	13	4
design/decisions/144-fastpath-footprint-ceiling.md	-	-	43	15	17
design/decisions/145-compartmentalization-at-process-cost.md	-	-	41	28	9
design/decisions/146-archive-and-compression-write-or-take.md	-	-	42	27	6
design/decisions/147-a-timer-a-userspace-service-cannot-hold.md	-	-	69	21	9
design/decisions/148-reap-and-thread-identity.md	-	-	-	30	8
design/decisions/149-kernel-served-console-endpoint.md	-	-	51	13	17
design/decisions/15-native-abi.md	-	21	43	1	3
design/decisions/150-per-thread-cpu-accounting.md	-	-	-	10	6
design/decisions/151-repository-goal-is-independent-release.md	-	-	46	13	3
design/decisions/152-port-range-capability.md	-	22	66	13	6
design/decisions/153-two-core-x86-test-sequencing.md	-	-	49	17	12
design/decisions/154-the-acronym-test-is-whether-the-phrase-is-spoken.md	-	-	49	11	9
design/decisions/155-naming-conventions-move-out-of-the-constitution.md	-	-	56	13	8
design/decisions/156-the-package-manager-waits-on-a-decision-not-milestone-23.md	-	-	-	9	4
design/decisions/157-a-trivial-install-is-a-web-page-a-usb-drive-and-packages.md	-	-	48	31	16
design/decisions/158-a-program-is-declared-once.md	-	-	54	17	3
design/decisions/159-upgrades-without-a-reimage.md	-	-	-	7	0
design/decisions/16-object-revocation.md	-	23	55	8	12
design/decisions/160-what-a-subshell-copies.md	-	-	64	15	2
design/decisions/161-what-counts-as-running-vaultwarden.md	-	-	42	15	2
design/decisions/162-giving-up-a-mapping.md	-	-	50	9	1
design/decisions/163-where-a-device-fault-is-delivered.md	-	-	47	11	0
design/decisions/164-resolving-a-tid-a-supervisor-holds.md	-	-	46	8	6
design/decisions/165-where-a-stored-secret-comes-from.md	-	-	43	12	2
design/decisions/166-the-rasteriser-and-how-many-faces.md	-	-	54	13	6
design/decisions/167-what-a-profiling-session-may-name.md	-	-	49	13	7
design/decisions/168-where-a-rotation-verb-lives.md	-	-	42	14	0
design/decisions/169-whether-a-clipboard-exists.md	-	21.5	50	11	2
design/decisions/17-riscv-second-architecture.md	-	22	111	8	5
design/decisions/170-how-a-foreign-program-is-told-what-to-do.md	-	-	-	14	1
design/decisions/171-where-a-program-image-starts.md	-	-	42	12	3
design/decisions/172-credential-endpoint-per-resource.md	-	-	44	7	3
design/decisions/173-narrowing-the-namespace-root.md	-	-	42	6	2
design/decisions/174-a-caller-for-the-three-uncalled-instruments.md	-	-	45	7	4
design/decisions/175-kernel-console-arbitration.md	-	-	48	6	4
design/decisions/176-offering-the-redoxfs-patches-upstream.md	-	-	-	6	3
design/decisions/177-measured-numbers-in-the-front-door-file.md	-	23	47	5	3
design/decisions/178-timer-rearm-seam.md	-	-	-	6	5
design/decisions/179-console-server-with-no-client.md	-	-	50	8	1
design/decisions/18-pcie-transport.md	-	24	55	7	1
design/decisions/180-a-third-program-directory.md	-	21	50	11	8
design/decisions/181-bootstrap-provisions-and-judges.md	-	-	-	13	1
design/decisions/182-provenance-for-wire-visible-names.md	-	-	53	13	4
design/decisions/183-what-no-arguments-means.md	-	-	46	16	8
design/decisions/184-an-x86-64-host-in-the-host-pass.md	-	-	49	10	6
design/decisions/185-composing-a-process-from-two-capabilities.md	-	-	43	10	6
design/decisions/186-where-the-riscv-tour-check-runs.md	-	-	-	16	6
design/decisions/187-crates-for-the-numbers-a-kernel-test-and-its-program-agree-on.md	-	-	52	9	7
design/decisions/188-one-home-for-the-trap-on-false-helper.md	-	-	56	7	2
design/decisions/189-what-a-caretaker-is-when-it-translates.md	-	-	42	15	3
design/decisions/19-architectural-parity.md	-	27	74	3	1
